Id,State,Asian,Native Hawaiian,Black or African American,American Indian or Alaska Native,White,Unknown
0,United States,,,,,,
1,Alabama,0,0,60,0,35,0
2,Alaska,,,,,,
3,Arizona,8,0,87,37,728,33
4,Arkansas,45,0,6621,25,6901,1851
5,California,,,,,,
6,Colorado,191,0,5494,138,14695,3044
7,Connecticut,23,0,1737,8,2128,471
8,Delaware,15,0,3310,2,1580,193
9,Florida,,,,,,
10,Georgia,,,,,,
11,Hawaii,,,,,,
12,Idaho,30,0,148,68,2922,394
13,Illinois,2,0,1814,0,560,368
14,Indiana,1,0,487,1,628,41
15,Iowa,69,0,2312,126,5200,273
16,Kansas,58,0,2864,31,5622,606
17,Kentucky,18,0,4277,8,5249,293
18,Louisiana,9,0,1852,2,962,370
19,Maine,3,0,91,1,471,4
20,Maryland,,,,,,
21,Massachusetts,202,0,3752,10,11316,970
22,Michigan,116,0,21192,100,15688,2342
23,Minnesota,,,,,,
24,Mississippi,,,,,,
25,Missouri,15,0,6728,3,2728,1066
26,Montana,20,0,108,645,2460,294
27,Nebraska,12,0,159,55,1087,68
28,Nevada,,,,,,
29,New Hampshire,8,0,248,3,2028,87
30,New Jersey,,,,,,
31,New Mexico,,,,,,
32,New York,,,,,,
33,North Carolina,,,,,,
34,North Dakota,9,0,378,303,1097,119
35,Ohio,94,0,19738,26,10177,3422
36,Oklahoma,12,0,762,422,3174,303
37,Oregon,145,0,1885,113,7911,700
38,Pennsylvania,0,0,61,0,65,12
39,Rhode Island,21,0,662,6,1217,77
40,South Carolina,66,0,14292,74,8502,1762
41,South Dakota,16,0,249,734,1116,159
42,Tennessee,126,0,25285,32,16961,2994
43,Texas,169,0,8748,18,9862,1366
44,Utah,257,0,694,123,4209,771
45,Vermont,9,0,95,0,784,14
46,Virginia,135,0,9494,10,6858,1499
47,Washington,786,0,6308,536,12644,2306
48,West Virginia,9,0,929,2,3834,390
49,Wisconsin,130,0,12090,230,4622,1424
50,Wyoming,,,,,,
