Id,State,0 - 9,19 - 10,20 - 29,30 - 39,40 - 49,50 - 59,60 - 69,70 - 79,80 - 89,90 - 99,Unknown
0,United States,,,,,,,,,,,
1,Alabama,0,20,28,17,7,7,3,3,0,0,0
2,Alaska,,,,,,,,,,,
3,Arizona,63,186,253,167,102,94,31,14,3,1,42
4,Arkansas,1066,2983,4338,3250,2020,1250,647,212,71,18,376
5,California,,,,,,,,,,,
6,Colorado,945,3925,6019,4549,2758,1894,697,205,67,28,210
7,Connecticut,107,839,1480,977,593,472,174,38,17,7,45
8,Delaware,264,817,1279,903,553,470,178,55,10,1,56
9,Florida,,,,,,,,,,,
10,Georgia,,,,,,,,,,,
11,Hawaii,,,,,,,,,,,
12,Idaho,176,794,998,799,556,260,125,33,10,2,12
13,Illinois,137,387,808,454,267,197,77,27,12,3,70
14,Indiana,71,179,286,229,123,65,24,11,2,0,18
15,Iowa,314,1766,2732,1906,1126,679,232,56,21,9,29
16,Kansas,732,1896,2576,1755,1087,720,286,75,30,7,98
17,Kentucky,705,1951,2885,2111,1476,976,391,114,36,6,222
18,Louisiana,103,455,800,670,429,294,123,24,6,1,56
19,Maine,31,121,166,131,80,59,8,11,2,0,0
20,Maryland,,,,,,,,,,,
21,Massachusetts,454,2743,5396,3938,2654,1954,895,306,82,77,250
22,Michigan,2189,8533,13469,8405,5627,4030,1590,396,111,74,302
23,Minnesota,,,,,,,,,,,
24,Mississippi,,,,,,,,,,,
25,Missouri,585,1601,2806,2085,1323,1072,414,117,30,11,177
26,Montana,337,738,852,721,440,299,108,33,11,1,88
27,Nebraska,104,369,350,260,147,66,26,7,3,0,11
28,Nevada,,,,,,,,,,,
29,New Hampshire,158,566,699,494,291,207,64,26,10,8,51
30,New Jersey,,,,,,,,,,,
31,New Mexico,,,,,,,,,,,
32,New York,,,,,,,,,,,
33,North Carolina,,,,,,,,,,,
34,North Dakota,79,289,602,427,205,123,28,9,4,2,9
35,Ohio,1299,5435,9146,6074,3848,2793,1146,322,116,30,193
36,Oklahoma,238,805,1139,937,869,433,170,65,14,7,23
37,Oregon,438,1820,2983,2391,1529,1113,437,116,27,5,172
38,Pennsylvania,6,28,30,21,11,9,2,1,0,0,7
39,Rhode Island,102,488,789,507,289,189,91,32,8,1,12
40,South Carolina,1377,4276,7373,5587,3493,2516,974,288,82,16,259
41,South Dakota,104,532,746,554,286,165,55,14,8,6,13
42,Tennessee,2150,7025,13594,10029,6460,4351,1866,519,139,24,121
43,Texas,879,3977,5262,3903,2341,1683,631,193,64,16,245
44,Utah,254,1405,1843,1391,842,531,193,54,16,7,72
45,Vermont,22,190,303,206,154,94,40,12,6,0,2
46,Virginia,826,3655,5537,3554,2127,1565,641,180,50,17,276
47,Washington,702,3695,5987,4751,2969,2150,878,221,63,26,339
48,West Virginia,466,787,1356,1128,801,475,197,93,26,12,223
49,Wisconsin,737,2632,5003,3131,1837,1307,475,164,39,16,34
50,Wyoming,,,,,,,,,,,
